date	52 Days	104 Days	153 Days	256 Days	512 Days	1260 Days	1764 Days
2016-07-12	6	1	9	2	21	54	21
2016-07-13	3	1	11	2	21	54	21
2016-07-14	2	0	13	2	21	54	22
2016-07-15	2	0	16	2	21	55	22
2016-07-18	4	0	18	2	21	55	22
2016-07-19	12	1	19	2	21	55	22
2016-07-20	23	2	19	2	21	56	22
2016-07-21	38	4	20	2	21	56	23
2016-07-22	38	8	19	2	21	56	23
2016-07-25	35	13	18	2	21	56	23
2016-07-26	32	19	17	2	21	57	23
2016-07-27	31	26	15	3	21	57	23
2016-07-28	34	32	12	3	21	57	24
2016-07-29	35	38	11	3	21	58	24
2016-08-01	36	42	10	3	22	58	24
2016-08-02	38	45	9	3	22	58	24
2016-08-03	40	48	8	4	22	59	24
2016-08-04	43	49	8	4	22	59	25
2016-08-05	46	49	7	4	22	59	25
2016-08-08	49	48	7	5	22	60	25
2016-08-09	53	46	8	5	22	60	25
2016-08-10	57	43	10	6	22	60	25
2016-08-11	62	40	13	6	21	60	26
